    Word    Instances   % Frequency
1.  The 69970   6.8872
2.  of  36410   3.5839
3.  and 28854   2.8401
4.  to  26154   2.5744
5.  a   23363   2.2996
6.  in  21345   2.1010
7.  that    10594   1.0428
8.  is  10102   0.9943
9.  was 9815    0.9661
10. He  9542    0.9392
11. for 9489    0.9340
12. it  8760    0.8623
13. with    7290    0.7176
14. as  7251    0.7137
15. his 6996    0.6886
16. on  6742    0.6636
17. be  6376    0.6276
18. at  5377    0.5293
19. by  5307    0.5224
20. I   5180    0.5099
21. this    5146    0.5065
22. had 5131    0.5050
23. not 4610    0.4538
24. are 4394    0.4325
25. but 4381    0.4312
26. from    4370    0.4301
27. or  4207    0.4141
28. have    3942    0.3880
29. an  3748    0.3689
30. they    3619    0.3562
31. which   3561    0.3505
32. one 3297    0.3245
33. you 3286    0.3234
34. were    3284    0.3232
35. her 3037    0.2989
36. all 3001    0.2954
37. She 2859    0.2814
38. there   2725    0.2682
39. would   2715    0.2672
40. their   2670    0.2628
41. we  2653    0.2611
42. him 2619    0.2578
43. been    2473    0.2434
44. has 2439    0.2401
45. when    2331    0.2294
46. who 2252    0.2217
47. will    2244    0.2209
48. more    2216    0.2181
49. no  2203    0.2168
50. If  2199    0.2164
51. out 2096    0.2063
52. so  1985    0.1954
53. said    1961    0.1930
54. what    1908    0.1878
55. up  1895    0.1865
56. its 1858    0.1829
57. about   1815    0.1787
58. into    1791    0.1763
59. than    1790    0.1762
60. them    1789    0.1761
61. can 1772    0.1744
62. Only    1747    0.1720
63. other   1702    0.1675
64. new 1635    0.1609
65. some    1617    0.1592
66. time    1601    0.1576
67. could   1599    0.1574
68. these   1573    0.1548
69. two 1412    0.1390
70. may 1400    0.1378
71. then    1377    0.1355
72. do  1362    0.1341
73. first   1361    0.1340
74. any 1345    0.1324
75. my  1319    0.1298
76. now 1314    0.1293
77. such    1303    0.1283
78. like    1290    0.1270
79. our 1252    0.1232
80. over    1237    0.1218
81. man 1210    0.1191
82. me  1183    0.1164
83. even    1171    0.1153
84. most    1160    0.1142
85. made    1125    0.1107
86. after   1070    0.1053
87. also    1069    0.1052
88. did 1044    0.1028
89. many    1030    0.1014
90. before  1016    0.1000
91. must    1013    0.0997
92. through 969 0.0954
93. back    967 0.0952
94. years   958 0.0943
95. where   938 0.0923
96. much    937 0.0922
97. your    923 0.0909
98. way 909 0.0895
99. well    897 0.0883
100.    down    895 0.0881
101.    should  888 0.0874
102.    because 883 0.0869
103.    each    877 0.0863
104.    just    872 0.0858
105.    those   850 0.0837
106.    people  847 0.0834
107.    Mr  839 0.0826
108.    how 836 0.0823
109.    too 833 0.0820
110.    little  831 0.0818
111.    US  827 0.0814
112.    State   808 0.0795
113.    good    807 0.0794
114.    very    796 0.0784
115.    make    794 0.0782
116.    world   787 0.0775
117.    still   782 0.0770
118.    see 772 0.0760
119.    own 772 0.0760
120.    men 763 0.0751
121.    work    761 0.0749
122.    long    756 0.0744
123.    here    750 0.0738
124.    GET 749 0.0737
125.    both    730 0.0719
126.    between 730 0.0719
127.    life    715 0.0704
128.    being   712 0.0701
129.    under   707 0.0696
130.    never   698 0.0687
131.    day 695 0.0684
132.    same    686 0.0675
133.    Another 684 0.0673
134.    know    683 0.0672
135.    year    681 0.0670
136.    While   680 0.0669
137.    last    676 0.0665
138.    might   672 0.0661
139.    great   665 0.0655
140.    old 660 0.0650
141.    off 640 0.0630
142.    come    630 0.0620
143.    since   628 0.0618
144.    go  626 0.0616
145.    against 626 0.0616
146.    came    622 0.0612
147.    right   613 0.0603
148.    states  613 0.0603
149.    used    612 0.0602
150.    take    611 0.0601
151.    three   610 0.0600
152.    himself 603 0.0594
153.    few 601 0.0592
154.    House   591 0.0582
155.    use 589 0.0580
156.    During  585 0.0576
157.    WITHOUT 583 0.0574
158.    again   578 0.0569
159.    place   571 0.0562
160.    American    569 0.0560
161.    around  561 0.0552
162.    However 552 0.0543
163.    home    547 0.0538
164.    small   542 0.0533
165.    found   536 0.0528
166.    Mrs 535 0.0527
167.    thought 516 0.0508
168.    went    507 0.0499
169.    say 504 0.0496
170.    part    499 0.0491
171.    once    499 0.0491
172.    high    498 0.0490
173.    general 497 0.0489
174.    upon    495 0.0487
175.    school  492 0.0484
176.    every   491 0.0483
177.    don't   489 0.0481
178.    does    485 0.0477
179.    got 482 0.0474
180.    United  482 0.0474
181.    left    480 0.0472
182.    number  472 0.0465
183.    course  465 0.0458
184.    war 464 0.0457
185.    Until   461 0.0454
186.    always  458 0.0451
187.    away    456 0.0449
188.    something   450 0.0443
189.    fact    447 0.0440
190.    water   442 0.0435
191.    though  441 0.0434
192.    less    438 0.0431
193.    public  438 0.0431
194.    put 437 0.0430
195.    think   433 0.0426
196.    almost  432 0.0425
197.    hand    431 0.0424
198.    enough  430 0.0423
199.    far 428 0.0421
200.    took    426 0.0419
201.    head    424 0.0417
202.    yet 419 0.0412
203.    government  417 0.0410
204.    system  416 0.0409
205.    set 414 0.0408
206.    better  414 0.0408
207.    told    413 0.0407
208.    Nothing 412 0.0406
209.    night   411 0.0405
210.    end 410 0.0404
211.    why 404 0.0398
212.    didn't  401 0.0395
213.    called  401 0.0395
214.    eyes    401 0.0395
215.    find    399 0.0393
216.    going   399 0.0393
217.    Look    399 0.0393
218.    asked   398 0.0392
219.    later   397 0.0391
